step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,132842.64,C13692003,4499.08,0,C297927961,0,132842.64,1,0
1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,1,0
1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1,0
1,CASH_IN,184547.7,C1206946689,4041430.1,4225977.8,C1234776885,2209646.36,2025098.66,0,0
1,CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,1,0
1,CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,1,0
1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
2,CASH_OUT,18627.02,C175961135,18627.02,0,C1711105800,147251.58,165878.6,1,0
2,TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,1,0
2,TRANSFER,1096187.24,C1093223281,1096187.24,0,C2063275841,0,0,1,0
2,PAYMENT,10965.89,C1537227906,0,0,M1625258377,0,0,0,0
2,TRANSFER,14949.84,C140702728,14949.84,0,C634210724,0,0,1,0
3,TRANSFER,10539.37,C1134864869,10539.37,0,C118648358,0,0,1,0
3,CASH_OUT,10539.37,C1984954272,10539.37,0,C124540047,0,10539.37,1,0
3,TRANSFER,22877,C1247938090,22877,0,C1002031672,0,0,1,0
3,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1,0
4,CASH_OUT,86070.17,C1699873763,86070.17,0,C560041895,0,86070.17,1,0
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0,C932583850,3616012.1,6963508.84,1,0
4,TRANSFER,13707.11,C17222024,13707.11,0,C410033330,0,0,1,0
4,TRANSFER,10000000,C7162498,12930418.44,2930418.44,C945327594,0,0,1,0
4,CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,1,0
5,CASH_OUT,128823.03,C344410717,29292,0,C1382717704,0,133220.41,0,0
5,TRANSFER,10119.47,C1775746074,10119.47,0,C746009679,0,0,1,0
5,TRANSFER,60726.57,C383882703,60726.57,0,C1807010830,0,0,1,0
5,CASH_OUT,60726.57,C840095827,60726.57,0,C803116137,13010502.78,13071229.35,1,0
6,TRANSFER,10224,C365589282,10224,0,C908043384,0,0,1,0
6,TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746.09,1,0
6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1,0
6,CASH_OUT,10224,C1284098442,10224,0,C801412408,0,10224,1,0
6,TRANSFER,17320.91,C788790720,17320.91,0,C1589547066,0,0,1,0
6,TRANSFER,17246,C1034673425,17246,0,C1379589736,0,101717.84,1,0
6,CASH_OUT,85354.69,C158801009,85354.69,0,C382431057,11170,10612.55,1,0
6,CASH_OUT,17320.91,C436661284,17320.91,0,C522173599,6244.44,0,1,0
6,PAYMENT,3485.75,C1023606628,0,0,M1863834886,0,0,0,0
6,TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,1,0
6,PAYMENT,5484.94,C1656369221,0,0,M964416619,0,0,0,0
6,TRANSFER,26768.5,C457596841,26768.5,0,C1956477953,0,0,1,0
6,TRANSFER,30521.02,C903383636,30521.02,0,C904300960,0,0,1,0
6,TRANSFER,25975.86,C864622150,25975.86,0,C41792607,0,0,1,0
6,CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48630.5,1,0
6,PAYMENT,6736.46,C1411932985,205056,198319.54,M1350518777,0,0,0,0
7,TRANSFER,441445.58,C1023505879,441445.58,0,C847761155,0,0,1,0
7,TRANSFER,5460002.91,C666654362,5460002.91,0,C1726301214,0,0,1,0
7,CASH_OUT,21571,C452475723,21571,0,C2089016471,30797.41,71140.3,1,0
7,PAYMENT,3128.6,C959464317,20990,17861.4,M372304371,0,0,0,0
7,TRANSFER,164,C1455969984,164,0,C2119910556,0,0,1,0
7,CASH_OUT,262434.54,C383717053,262434.54,0,C380242442,19525.79,438233.86,1,0
7,CASH_IN,336763.21,C86456257,1146540.62,1483303.83,C662736689,5989593.11,5677417.44,0,0
7,CASH_OUT,5460002.91,C1588880909,5460002.91,0,C1570256460,0,9281535.44,1,0
7,PAYMENT,4172.18,C1729917416,488,0,M2102490838,0,0,0,0
7,PAYMENT,68.09,C1265189536,28785,28716.91,M1684281752,0,0,0,0
7,CASH_OUT,164,C1173659886,164,0,C1769947269,4068,0,1,0
8,TRANSFER,89631.24,C74534388,89631.24,0,C1748042844,0,0,1,0
8,PAYMENT,6774.64,C450506067,9274,2499.36,M1173086138,0,0,0,0
8,TRANSFER,1078013.76,C1026280121,0,0,C277510102,0,970749.68,1,0
8,TRANSFER,1127999.34,C1869039966,25693.82,0,C1870237274,1180032.06,6156824.17,0,0
8,CASH_IN,43179.32,C1786940645,4019153.81,4062333.12,C943901945,553771.44,1361724.43,0,0
8,CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647.35,1,0
8,CASH_OUT,164612.13,C2095592703,39952,0,C866710867,111818.78,166801.21,0,0
8,PAYMENT,4021.09,C1441494169,883,0,M1168204097,0,0,0,0
8,PAYMENT,7884.87,C1435103936,0,0,M578571745,0,0,0,0
8,PAYMENT,3286.77,C690601791,52228,48941.23,M1195553417,0,0,0,0
8,PAYMENT,15268.86,C129019654,64732.11,49463.24,M917934318,0,0,0,0
8,CASH_IN,141994.22,C266149413,7379361.59,7521355.81,C216890954,242707.38,0,0,0
8,DEBIT,7428.04,C698994292,0,0,C1009195400,86080.6,96262.11,0,0
8,TRANSFER,29707.86,C1825456600,29707.86,0,C570409417,0,0,1,0
8,CASH_OUT,181728.11,C2102265902,0,0,C789014007,11397,184477.77,1,0
8,PAYMENT,20377.53,C937701407,290805.72,270428.19,M2059471581,0,0,0,0
8,CASH_IN,19529.73,C1463331167,4161,23690.73,C1283415889,3788,0,0,0
8,TRANSFER,1224923.07,C1574819359,0,0,C451111351,11876905.22,13101828.29,0,0
8,CASH_OUT,103051.44,C464246068,0,0,C1281580764,158992.21,262043.65,0,0
8,TRANSFER,1996.17,C1198040187,1996.17,0,C1828047633,0,0,1,0
8,PAYMENT,4559.14,C744703857,14037.66,9478.52,M391860142,0,0,0,0
8,CASH_OUT,61117.29,C494460314,0,0,C124023321,106251,167368.29,0,0
8,CASH_IN,157470.08,C1658823285,15925855.52,16083325.6,C447691425,4257509.09,6795453.82,0,0
9,CASH_OUT,350705.74,C58527359,350705.74,0,C582901057,894760.68,1794033.65,1,0
9,CASH_OUT,220013.37,C1328485989,0,0,C1350789239,4504552.29,8629955.83,0,0
9,TRANSFER,1857163.21,C1257653704,24623,0,C1382131243,0,0,0,0
9,CASH_IN,201545.21,C1588655365,348343.82,549889.03,C534405863,398719.63,804834.28,0,0
9,CASH_IN,75641.04,C1957352457,9472044.1,9547685.15,C381390837,3886893.37,3960098.26,0,0
9,TRANSFER,1891886.65,C1390061135,3976978.79,2085092.14,C1065997164,5732728.23,7245982.92,0,0
9,TRANSFER,2602026.93,C632402911,259678.09,0,C571113365,5669085.6,8550540.45,0,0
9,CASH_OUT,178375.49,C563818142,134513.8,0,C1339678445,0,79771.31,0,0
9,CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,1,0
9,CASH_OUT,11308,C921533797,11308,0,C424669538,0,302550.56,1,0
9,CASH_OUT,556218.01,C589143360,556218.01,0,C1992550266,0,582265.81,1,0
9,CASH_OUT,16481.1,C19354823,0,0,C516516576,472444.32,488925.42,0,0
9,PAYMENT,21429.42,C1344635692,0,0,M392515656,0,0,0,0
9,CASH_OUT,328931.94,C896113800,37571.46,0,C897693538,379566.39,698687.15,0,0
9,TRANSFER,1154353.99,C670587931,1154353.99,0,C150406565,0,10872.9,1,0
9,PAYMENT,4301.99,C794659137,0,0,M44049000,0,0,0,0
9,PAYMENT,12498.25,C102955188,0,0,M1139474627,0,0,0,0
9,CASH_OUT,155739.26,C1485187540,799717.39,643978.13,C749658791,726586.4,882325.66,0,0
9,CASH_OUT,197846.75,C825954084,81018,0,C1427427152,0,0,0,0
9,CASH_OUT,147882.49,C2035099265,1183,0,C1255024717,18471124.01,18803381.54,0,0
9,CASH_OUT,22904.37,C1876823876,0,0,C168639687,1074118.97,1254345.28,0,0
9,PAYMENT,1042.68,C1384513396,0,0,M1978869949,0,0,0,0
9,CASH_OUT,184293.59,C1346281872,0,0,C1604937775,1006,460608.55,0,0
9,CASH_OUT,244068.01,C507466068,244068.01,0,C706331499,0,338538.16,1,0
9,CASH_OUT,57229.1,C1849944760,0,0,C547709432,97030,154259.1,0,0
9,PAYMENT,36798.93,C1125387419,54008,17209.07,M1901024873,0,0,0,0
9,TRANSFER,21922,C102617052,21922,0,C760675871,0,0,1,0
9,TRANSFER,1055,C666486325,1055,0,C279565067,0,0,1,0
9,CASH_OUT,455610.81,C1037799296,101588,0,C390839950,0,455610.81,0,0
9,TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,1,0
9,PAYMENT,13427.86,C1574344749,54336.61,40908.76,M989919308,0,0,0,0
9,CASH_OUT,126172.03,C783988950,267,0,C178258742,30760,157657.92,0,0
9,PAYMENT,26751.01,C1596518881,29799,3047.99,M385118491,0,0,0,0
9,TRANSFER,559199.72,C722890307,96635,0,C478220043,10911,1532466.42,0,0
9,PAYMENT,17205.6,C2098766975,0,0,M213201359,0,0,0,0
9,CASH_IN,219987.53,C2004749680,457,220444.53,C1327761328,191526,0,0,0
9,TRANSFER,2833941.15,C286215950,20990,0,C2042020220,35649,2708782.83,0,0
9,CASH_OUT,112304.65,C503762350,29326,0,C1836096145,6000,54374.88,0,0
9,CASH_OUT,361559.69,C684758020,361559.69,0,C1769042905,504667.31,189441.24,1,0
9,CASH_OUT,271406.26,C654836414,35616.79,0,C1268745115,0,412831.56,0,0
9,TRANSFER,350705.74,C1452168793,350705.74,0,C399194578,0,1184633.07,1,0
9,PAYMENT,24092.71,C1249688797,16547,0,M1678770902,0,0,0,0
9,CASH_IN,36537.2,C2114391153,128724.67,165261.88,C2075725853,599311.3,844261.48,0,0
10,CASH_OUT,467519.64,C178135661,737321.4,269801.76,C2006081398,13606803.21,17030605.94,0,0
10,CASH_OUT,55591.93,C1478125621,0,0,C2046899599,237885.12,293477.05,0,0
10,CASH_OUT,437569.73,C247207785,31233,0,C546329947,27139,0,0,0
10,CASH_IN,77402.64,C192404603,6850474.92,6927877.56,C801899764,1432948.01,983363.36,0,0
10,PAYMENT,5370.05,C1620715423,541,0,M839659502,0,0,0,0
10,CASH_IN,16670.37,C2059583641,8583428.1,8600098.47,C1636857554,125971.55,0,0,0
10,CASH_OUT,130016.4,C950088710,11212,0,C176203926,1596618.43,1493486.03,0,0
10,CASH_IN,119722.32,C203587362,13613121.04,13732843.35,C248609774,23572919.06,23291392.16,0,0
10,PAYMENT,5287.07,C1173164180,1466565.97,1461278.9,M1653888584,0,0,0,0
10,TRANSFER,169847.33,C1531004855,0,0,C1391646952,178139.81,2432216.63,0,0
10,CASH_OUT,59835,C1020461364,59835,0,C2144015041,255480.76,315315.76,1,0
10,CASH_OUT,10039.73,C1236260470,0,0,C1222812023,34541.92,44581.65,0,0
10,PAYMENT,7684.84,C1507864172,202895.76,195210.93,M1296590006,0,0,0,0
10,PAYMENT,751.51,C733586484,307897.81,307146.3,M1606294925,0,0,0,0
10,CASH_OUT,338147.08,C1056069331,0,0,C1749232081,398588.02,609898.71,0,0
10,PAYMENT,2849.31,C570475755,3048991.61,3046142.3,M414741735,0,0,0,0
10,PAYMENT,18249.57,C929638673,272,0,M28943993,0,0,0,0
10,CASH_OUT,9217.19,C1105700111,9217.19,0,C1767952032,0,9217.19,1,0
10,PAYMENT,5095.65,C573247811,21681,16585.35,M635384125,0,0,0,0
10,CASH_IN,373245.57,C924995922,3107297.52,3480543.09,C1758941631,1251206.03,1441895.06,0,0
10,CASH_OUT,59138.01,C1777130922,10828,0,C1720463306,19198,78336.01,0,0
10,CASH_OUT,464332.92,C1315044501,98246.92,0,C1387750261,780252,1590134.81,0,0
10,PAYMENT,29225.64,C810093001,101204,71978.36,M1423912948,0,0,0,0
10,CASH_IN,323377.95,C56377997,49965,373342.95,C1396248371,169884.57,0,0,0
10,CASH_OUT,2662734.59,C813115168,2662734.59,0,C401825929,14165.62,2930405.33,1,0
10,TRANSFER,9217.19,C184586799,9217.19,0,C812377986,0,96795.6,1,0
10,PAYMENT,11807.62,C636820059,188166,176358.38,M1747290152,0,0,0,0
10,CASH_IN,29905.85,C894777263,2077,31982.85,C984847201,22244.68,0,0,0
10,PAYMENT,4281.1,C257318110,509,0,M365962088,0,0,0,0
10,TRANSFER,2662734.59,C1182702586,2662734.59,0,C2143409210,0,0,1,0
10,CASH_OUT,277970.88,C489647033,0,0,C571514738,0,277970.88,1,0
10,PAYMENT,24547.91,C841869114,598399.71,573851.8,M1755937788,0,0,0,0
10,CASH_OUT,21203.84,C1781002914,746,0,C718262907,86536.19,107740.02,0,0
10,CASH_OUT,229719.89,C539904048,50134.98,0,C1814361629,4257866.87,4922730.31,0,0
10,TRANSFER,316865.83,C2068210005,0,0,C1895787281,350692.28,408513.39,0,0
10,CASH_IN,24638.12,C603817526,3399008.14,3423646.26,C1729146739,7658176.41,12254920.64,0,0
11,PAYMENT,7976.58,C2127100434,62666.72,54690.15,M1725567117,0,0,0,0
11,CASH_OUT,148867.57,C1762840788,1812,0,C401470100,0,148867.57,0,0
11,PAYMENT,25073.8,C1464479022,0,0,M120036285,0,0,0,0
11,CASH_IN,188762.26,C968454609,4985059.35,5173821.61,C470644341,982446.5,1160492.83,0,0
11,TRANSFER,550507.15,C1292974833,0,0,C1564295445,625904.6,1176411.75,0,0
11,CASH_IN,432418.34,C1704841466,54341.5,486759.85,C1031811884,0,0,0,0
11,CASH_OUT,223337.18,C280745179,0,0,C54142591,11925130.44,12148467.63,0,0
11,CASH_OUT,3808,C1187830346,6007,2199,C1116915569,1963238.65,1967046.65,0,0
11,CASH_OUT,274830.25,C1238937495,0,0,C708718126,2566329.42,3040018,0,0
11,CASH_OUT,62103.1,C52946979,2123,0,C194914592,152937.56,215040.66,0,0
11,PAYMENT,11946.68,C663112181,1556,0,M1619182517,0,0,0,0
11,PAYMENT,11205.15,C46794319,762546.35,751341.2,M696639081,0,0,0,0
11,CASH_OUT,107232.77,C251243655,0,0,C1219273867,10833189.91,10496744.19,0,0
11,TRANSFER,1933920.8,C1706582969,0,0,C461905695,1283762.85,3217683.65,1,0
11,PAYMENT,3022.07,C251329140,7294,4271.93,M2098910616,0,0,0,0
